,age,address,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,last name,first_Name,range_age,Month_number,categorizes_geo
208,38,"87616 edythe lodge\nnorth myrtlebury, nh 71643",services,single,secondary,False,-196,True,False,cellular,2,feb,60,1,271,1,failure,False,renner,friedrich,3,2,nan
212,38,"727maxwelldamsuite729\nwestminervaport,nc54786",technician,married,tertiary,False,432,True,False,cellular,15,may,10,2,373,1,other,False,schulist,elna,3,5,nan
217,30,"4569 rey burgs suite 711\nheberburgh, fl 05937",blue-collar,married,secondary,False,975,True,False,cellular,13,may,256,2,351,2,failure,False,kohler,judd,3,5,nan
227,33,"508walterradialapt.853\nportcristalton,ri83235",technician,married,secondary,False,359,True,False,cellular,20,apr,210,1,242,1,other,False,jacobi,marta,3,4,nan
229,35,"051 gulgowski mission apt. 259\nbeckerfurt, ap 60014-0420",technician,married,tertiary,False,0,True,True,cellular,23,sep,112,1,62,6,other,False,goyette,isaiah,3,9,nan
232,44,"6587 devonte fork apt. 258\nfurmanfort, wy 97409-8239",technician,single,secondary,False,33,True,False,cellular,13,may,195,3,351,10,failure,False,roberts,wellington,4,5,nan
233,45,"607 glover ridge st.\nsouth rigoberto, al 05038-1192",blue-collar,single,secondary,False,0,True,False,cellular,26,jul,768,2,91,5,success,False,johnson,dixie,4,7,nan
236,33,"327calliecauseway\nsouthterrance,nm85287",blue-collar,married,secondary,False,3576,True,False,cellular,2,apr,124,1,308,2,other,False,haley,howell,3,4,nan
245,36,"497 hailey flats st.\ndayanaton, ia 27202",management,married,tertiary,False,0,True,False,cellular,28,jan,60,1,250,1,other,False,pollich,antonia,3,1,nan
249,43,"191 alford brooks st.\nport jeffrey, va 10347-6318",technician,married,secondary,False,0,False,True,cellular,8,may,9,2,172,5,failure,False,heller,domingo,4,5,nan
253,58,"9773hettingerkeyapt.477\nsouthlilyantown,nd29730-7282",retired,married,primary,False,3401,True,False,cellular,3,feb,84,3,265,2,failure,False,greenfelder,zander,5,2,nan
264,58,"7796lizzieviewsave.\nkirlinchester,il49805",technician,married,tertiary,False,883,False,False,cellular,18,aug,543,1,78,2,failure,False,schneider,weldon,5,8,nan
270,40,"4195parkergardensave.\ntyreeshire,hi62179-0739",services,married,secondary,False,0,True,False,cellular,2,jun,297,1,28,3,failure,False,reynolds,lizzie,4,6,nan
276,35,"6810 gl3ichn3r 3stat3s \nmarvinf0rt, az 48169",housemaid,married,tertiary,False,11219,False,False,cellular,12,aug,699,2,79,1,failure,False,kunde,alyson,3,8,nan
289,34,"3636 terrence manors \nnorth madisyn, mo 09845-0182",admin.,married,tertiary,False,69,False,True,cellular,4,aug,120,3,1,6,success,True,ferry,helmer,3,8,nan
301,65,"01947 j0hnny passag3\nw3st tyr3s3, la 18461-9906",retired,divorced,primary,False,1840,False,False,cellular,1,jun,383,2,188,5,failure,False,dare,armando,6,6,nan
310,49,"6978langworthtrailave.\nrachelview,ct49007",blue-collar,married,secondary,False,8545,True,True,cellular,6,may,199,7,167,1,failure,False,schowalter,garnett,4,5,nan
314,25,"7044 l0is pin3 apt. 692\nj3ff3rych3st3r, az 39073",admin.,single,tertiary,False,760,True,False,cellular,27,may,223,3,89,2,failure,True,weber,christian,2,5,nan
318,35,"0293 cheyanne tunnel ave.\nwest dominic, az 70180",entrepreneur,married,secondary,False,2971,False,False,cellular,4,may,429,4,164,2,failure,True,stracke,valentin,3,5,nan
323,38,"9064sau3rlightav3.\nw3stl3yvill3,d392256-8550",management,married,tertiary,False,1199,False,False,cellular,4,aug,178,1,1,1,success,True,murazik,avery,3,8,nan
325,33,"55626 florida cliff\nport llewellynstad, co 17997",technician,married,secondary,False,6699,False,False,cellular,9,nov,425,1,462,1,failure,False,bailey,elwin,3,11,nan
328,35,"12633unavistasuit3045\nw3strahulp0rt,mp49839",unemployed,married,secondary,False,978,False,False,cellular,29,dec,1370,3,209,3,success,True,goldner,rebecca,3,12,nan
331,29,"1388 gaylord isle ave.\njerdeberg, ri 58872-7647",technician,single,tertiary,False,828,True,False,cellular,16,apr,215,3,321,3,other,False,o'keefe,trevion,2,4,nan
337,33,"035alanapike\naiyanaburgh,as09133",management,single,tertiary,False,1410,True,False,cellular,5,feb,8,1,254,5,failure,False,renner,bradford,3,2,nan
338,63,"862weissnatharborsst.\nportbrendenville,me40155",retired,married,primary,False,1084,False,False,cellular,14,oct,201,1,183,1,success,False,rodriguez,guy,6,10,nan
340,41,"82341 zieme stravenue\nnorth damientown, nh 22025-5112",management,married,tertiary,False,832,True,True,cellular,21,nov,164,1,176,1,failure,False,franecki,ignacio,4,11,nan
345,36,"4378kohlerpointave.\ngerholdland,fm30454-9013",blue-collar,single,secondary,False,219,True,True,cellular,11,may,270,2,347,1,failure,False,gorczany,tobin,3,5,nan
347,55,"152 dudley manor st.\nconnhaven, nd 51136",management,married,primary,False,2587,False,False,cellular,4,sep,328,2,94,2,success,True,mitchell,bethany,5,9,nan
349,47,"0933 marcellus ridge ave.\nnorth berry, ca 32891",self-employed,married,tertiary,False,2303,True,False,cellular,6,may,323,2,364,1,failure,False,skiles,delbert,4,5,nan
353,50,"71580 bailey flat\nweimannberg, id 31648-0974",management,married,tertiary,False,4,False,False,cellular,17,nov,223,1,96,2,failure,False,gislason,elwin,5,11,nan
354,29,"824 alene ford suite 640\nmayertmouth, mh 34654",management,married,tertiary,False,318,True,False,cellular,18,may,1434,2,356,4,failure,False,bradtke,mateo,2,5,nan
367,32,"86826 r0lfs0n c0urs3\nw3st wil3ym0uth, pw 97270",management,single,tertiary,False,8436,True,False,cellular,17,apr,245,1,149,2,failure,False,green,maiya,3,4,nan
369,30,"1654 jacky drive \ntalonhaven, tn 63438-5379",entrepreneur,married,secondary,False,946,True,False,cellular,19,nov,1065,1,183,1,other,False,farrell,evan,3,11,nan
374,42,"303 gottlieb plaza st.\nwest nathanael, as 86154",admin.,married,secondary,False,-396,True,False,cellular,11,may,80,1,308,4,failure,False,green,callie,4,5,nan
375,30,"737sawaynforkst.\nportzoey,nm18516-7284",services,single,secondary,False,0,True,False,cellular,18,may,131,6,363,9,failure,False,runolfsdottir,christiana,3,5,nan
377,37,"5507 dejuan mountain ave.\nfeliciaside, ak 47158",management,married,tertiary,False,393,True,False,cellular,14,may,567,3,275,4,failure,True,wisoky,carmela,3,5,nan
380,39,"75306 sterling isle\nstaceyland, ri 02213-3936",blue-collar,married,secondary,False,0,True,False,cellular,30,apr,53,1,325,1,failure,False,kertzmann,jayne,3,4,nan
383,37,"4004mclaughlinparksav3.\n3n0sb3rg,il55799",services,married,secondary,False,1328,True,False,telephone,13,may,121,2,341,4,failure,False,hoeger,autumn,3,5,nan
390,33,"188 m3dhurst rapid \nw3st amarif0rt, m3 97698",management,single,tertiary,False,1240,True,False,cellular,4,feb,505,2,260,1,other,False,hirthe,britney,3,2,nan
394,33,"510dar3circl3sapt.664\nw3stcarm3llach3st3r,mh50366-0405",blue-collar,married,secondary,False,43,True,False,cellular,14,may,332,2,358,2,failure,False,swift,kira,3,5,nan
397,37,"334 willis trafficway \nnew cayla, ky 53835",technician,single,tertiary,False,6101,False,False,cellular,4,may,60,5,87,1,success,False,schiller,vada,3,5,nan
408,44,"6654 ortiz glen ave.\nadrainchester, ap 10683-7728",management,married,secondary,False,438,True,False,telephone,8,may,37,3,303,1,failure,False,bogan,chase,4,5,nan
409,54,"0847 imogene freeway ave.\nnorth amiraport, ar 53975",admin.,married,secondary,False,0,False,False,cellular,28,jan,161,1,98,2,failure,True,koss,maud,5,1,nan
412,75,"2346 dayne landing \ndickinsonbury, aa 81266-4462",retired,divorced,tertiary,False,3810,True,False,cellular,16,nov,262,1,183,1,failure,True,monahan,nikki,7,11,nan
421,37,"749 ophelia unions st.\nkaileyside, nv 46187-3639",management,married,tertiary,False,502,True,False,cellular,7,may,551,1,351,1,failure,False,howe,shawn,3,5,nan
423,37,"3623 barry bridge \nwinonaborough, ga 64781-0714",management,single,tertiary,False,876,True,False,cellular,15,apr,140,4,327,2,failure,False,balistreri,fernando,3,4,nan
433,43,"4537 nella drive \nzboncakmouth, co 98176-9749",blue-collar,married,secondary,False,130,False,False,cellular,5,may,156,1,337,3,failure,False,bergnaum,katelyn,4,5,nan
437,27,"1580'k33f3bypassst.\nn0rthj3rr0dvill3,pa45023",admin.,single,secondary,False,619,True,False,cellular,20,apr,16,5,322,4,other,False,frami,alden,2,4,nan
459,43,"6237 jada freeway apt. 472\nhuelfurt, mi 12358-7807",management,divorced,tertiary,False,36,False,False,cellular,26,may,118,1,102,2,failure,False,turner,kirstin,4,5,nan
464,32,"783 al3x und3rpass suit3 430\nr0drigu3zf0rt, c0 40446",blue-collar,married,secondary,False,889,True,False,cellular,10,sep,185,1,99,5,success,True,padberg,elmira,3,9,nan
465,59,"351 zechariah route st.\nwest lilian, mo 06524",housemaid,married,secondary,False,0,False,False,telephone,3,feb,722,1,99,4,failure,False,collier,magdalen,5,2,nan
477,77,"064 jenifer hills apt. 691\nwilmafurt, wv 44131-4905",retired,married,tertiary,False,7802,False,False,telephone,4,may,421,1,92,2,success,True,smith,vince,7,5,relief
482,40,"39793 o'reilly roads\nlake armand, il 27864",technician,married,secondary,False,694,True,False,cellular,4,feb,97,4,196,5,failure,False,parker,giovanny,4,2,water
492,53,"6422keelingpassagesuite155\nbartonport,wv19557-6601",admin.,married,secondary,False,1796,False,False,telephone,16,mar,295,1,91,2,success,True,ledner,adonis,5,3,nan
496,50,"48251jam3yw3ll\npac0chab3rg,id36618",housemaid,married,secondary,False,7317,True,False,cellular,13,may,172,1,370,1,failure,False,bogisich,amalia,5,5,nan
500,32,"95289 welch river\nkurtisland, hi 57529-8854",management,single,tertiary,False,12607,False,False,cellular,14,aug,203,5,84,1,failure,False,goyette,josie,3,8,nan
510,38,"7319 eldridge plains suite 980\nlake angelobury, mo 02555-3390",blue-collar,married,secondary,False,121,True,True,cellular,6,feb,168,1,212,2,failure,False,block,violette,3,2,water
512,52,"84268 amira path\nsouth steveberg, hi 75159-8489",technician,married,secondary,False,195,True,False,cellular,18,feb,220,1,63,5,failure,True,brakus,kirstin,5,2,nan
515,45,"8983wisozkvistaave.\nlurlineside,nv67619",unemployed,divorced,primary,False,757,False,False,cellular,20,apr,103,1,325,4,failure,False,parisian,eloy,4,4,nan
518,34,"2138abshirelocksave.\nlakeallenestad,ut22403",management,married,tertiary,False,902,True,False,cellular,14,may,159,1,367,2,other,False,cassin,sandy,3,5,water
519,61,"964 marvin shoals st.\nschmelerberg, mo 76921",retired,married,secondary,False,5207,False,False,cellular,11,sep,336,1,81,2,other,False,gibson,haven,6,9,nan
522,43,"91350 letha lodge\nsouth stella, mo 20216",admin.,divorced,secondary,False,738,True,False,cellular,21,nov,585,4,191,4,failure,False,kunde,garrick,4,11,nan
528,43,"16466alessandroland\nlakeconsuelo,hi92810-2492",services,married,primary,False,2567,True,False,cellular,14,may,109,1,360,2,failure,False,gutmann,jaron,4,5,water
540,47,"7641hesselfordapt.869\nkertzmannberg,ri37955",admin.,single,secondary,False,3696,False,False,cellular,12,jul,250,2,181,4,success,True,pfannerstill,jewell,4,7,nan
551,34,"031 ziemann hill suite 828\nwest mandy, mp 47648-4542",technician,married,secondary,False,-228,True,False,cellular,20,apr,187,3,332,3,other,False,torp,valentine,3,4,relief
552,63,"219 shaniya springs st.\nj0hnst0nt0wn, md 75701-3972",retired,married,secondary,False,2747,False,False,cellular,11,sep,113,1,80,1,failure,False,pouros,buddy,6,9,nan
555,37,"501 j0an island apt. 889\nari3lp0rt, nc 50913-4997",admin.,married,secondary,False,1314,True,False,cellular,8,may,682,2,85,7,success,False,zulauf,alyson,3,5,nan
563,50,"9198 minni3 0rchard apt. 206\nn3w d3v0nt3, a3 77030-3754",technician,married,secondary,False,2497,True,False,cellular,21,nov,35,1,176,1,failure,False,wilderman,sheldon,5,11,nan
565,40,"369hagenesviewst.\neastbenmouth,la35492",technician,married,secondary,False,56,True,True,cellular,29,jan,194,1,247,1,failure,False,kunze,nicholas,4,1,nan
572,53,"361 ericka hills st.\nnew zechariah, ok 18316",management,married,tertiary,False,1319,True,False,cellular,16,apr,427,1,150,1,failure,False,ledner,tierra,5,4,relief
578,49,"18372janetcourts\nyasminmouth,sc77560-7783",blue-collar,married,secondary,False,171,False,False,cellular,4,feb,19,3,175,2,other,False,hilpert,salma,4,2,nan
579,33,"765 vladimir ways suite 474\nsouth chloeton, mt 12200",technician,single,tertiary,False,696,False,True,cellular,5,feb,193,1,176,8,failure,False,romaguera,lela,3,2,nan
596,47,"56907 schm3l3r 0rchard\nn3w th3r3s3, va 07681-0066",housemaid,married,primary,False,201,True,False,cellular,7,aug,58,2,382,1,failure,False,doyle,creola,4,8,nan
598,60,"5174hesselgardensave.\nnewbuster,nm01885",retired,divorced,unknown,False,-49,True,False,cellular,29,jan,188,1,261,2,failure,False,oberbrunner,patsy,6,1,nan
602,50,"465nad3rhillsst.\nr0salindavi3w,0h81048",blue-collar,married,primary,False,12519,True,False,cellular,17,apr,146,2,147,4,success,False,waters,nina,5,4,relief
614,39,"76959 koepp flat\nshieldsfort, hi 21848",technician,married,tertiary,False,1161,True,False,cellular,9,apr,236,1,336,1,failure,False,franecki,moshe,3,4,nan
619,35,"183 weber plaza apt. 336\nnew mistyfurt, pr 19282-3276",technician,married,tertiary,False,7050,False,False,cellular,11,aug,222,3,182,4,success,True,schuster,jayde,3,8,nan
623,40,"027 hartmann trace st.\neast carmelo, fl 48390",management,single,tertiary,False,1509,False,False,cellular,12,may,333,1,58,3,failure,False,goodwin,garry,4,5,nan
629,59,"3242 cristobal lodge suite 259\narlieshire, mi 32711-6784",management,married,tertiary,False,2764,False,False,cellular,24,dec,237,1,206,2,failure,False,boyer,geovanny,5,12,nan
631,33,"857 henderson extensions st.\nnorth patience, ct 35317-2411",technician,married,tertiary,False,8023,False,False,cellular,30,nov,107,1,105,3,failure,False,ullrich,mariela,3,11,nan
647,46,"236 jenkins forest st.\nnorth fanniefurt, ne 28011-3470",management,divorced,tertiary,False,6269,True,False,telephone,18,nov,249,3,112,2,failure,False,mohr,cooper,4,11,nan
649,60,"9588margar3ttav3nu3av3.\nn3wcarmin3hav3n,mh48761-6566",management,married,primary,False,252,True,True,cellular,13,apr,123,2,147,3,failure,False,cassin,ben,6,4,nan
650,33,"12572 k3ssl3r prairi3\nvirgi3p0rt, a3 66561-0992",housemaid,single,tertiary,False,23663,True,False,cellular,16,apr,199,2,146,2,failure,False,nienow,erna,3,4,nan
651,27,"9860kylecourtave.\nportmittieshire,as40507",entrepreneur,single,tertiary,False,81,False,False,cellular,5,feb,197,1,199,3,failure,False,ziemann,emily,2,2,nan
657,64,"729 treutel neck st.\nmosciskiland, ap 61303-8099",retired,married,primary,False,43,False,False,cellular,11,mar,117,1,91,1,success,False,o'reilly,giuseppe,6,3,nan
658,47,"532leonelrue\ndylanside,vt99268",technician,married,secondary,False,57,False,False,cellular,5,may,253,1,342,1,success,False,kris,juwan,4,5,nan
660,36,"6188 wehner roads apt. 920\nport oralmouth, ri 59646-8825",technician,divorced,secondary,False,666,True,True,cellular,3,apr,190,1,133,1,other,False,mills,dorian,3,4,nan
663,53,"225 keeling station st.\nwest victortown, hi 10589-3563",entrepreneur,married,primary,False,1034,True,False,cellular,19,nov,854,2,170,3,other,False,hyatt,serena,5,11,nan
665,54,"6684 kassandra c0urt apt. 940\nbradyt0wn, ri 81806",technician,married,secondary,False,0,False,False,telephone,16,nov,986,1,94,8,failure,False,koch,isabelle,5,11,nan
667,55,"2069 collins courts \ncummingsbury, la 99915-0359",management,married,primary,False,621,False,True,cellular,2,feb,114,1,208,1,failure,False,kirlin,danika,5,2,nan
671,44,"197madisonmissionst.\nnorthjoesph,mo64501-0972",technician,married,secondary,False,310,True,False,cellular,6,feb,200,1,253,1,failure,False,mckenzie,kevon,4,2,nan
672,32,"375 purdy walk st.\nbradlyport, mn 53300-7703",entrepreneur,married,unknown,False,73,True,False,cellular,21,nov,158,1,135,1,failure,False,wiegand,will,3,11,nan
675,37,"217 izaiah fi3lds apt. 796\ns0uth mari0p0rt, nd 46754-7969",technician,married,secondary,False,64,True,False,cellular,12,may,239,4,278,2,other,False,towne,wilson,3,5,nan
684,28,"4941k03pppin3av3.\nlak3craig,mp97506",services,single,secondary,False,168,False,False,cellular,1,jun,347,3,140,2,success,True,rempel,elliott,2,6,nan
685,46,"3627jeffryvilleave.\nmcclureview,as31128-4563",services,married,secondary,False,1550,True,False,cellular,16,apr,126,2,149,8,failure,False,jacobson,delores,4,4,nan
699,35,"1494 murphy p0rt av3.\nw3st ludi3stad, la 45035-3101",entrepreneur,married,tertiary,False,0,False,False,cellular,5,may,74,1,168,4,failure,False,mayert,lydia,3,5,nan
713,25,"298 r00s3v3lt parkway st.\np0rt katrin3, wv 06393",student,single,secondary,False,1790,False,False,cellular,17,apr,224,1,322,3,failure,False,nicolas,ransom,2,4,nan
718,40,"200 skiles spur \nsouth lorenzo, tx 50067",blue-collar,married,secondary,False,498,True,False,cellular,8,may,55,2,298,4,failure,False,schumm,forest,4,5,nan
724,26,"27875 tristian lodge\nnew alexandramouth, ut 78924",technician,single,secondary,False,455,False,False,cellular,29,jan,240,1,182,8,other,False,walter,deion,2,1,nan
725,31,"6502 allene meadows apt. 276\nsouth roxane, al 36501",management,married,tertiary,False,1010,True,False,cellular,15,may,385,3,364,9,other,False,shanahan,corrine,3,5,nan
731,48,"7403 amadi park ave.\nkelvinfort, pr 50295",blue-collar,married,primary,False,1092,False,True,cellular,18,nov,79,1,172,8,failure,False,carroll,shana,4,11,nan
738,36,"6044 carl33 m0unt \ns0uth jac3bury, in 10372",technician,single,secondary,False,1855,True,False,cellular,4,feb,75,1,273,1,failure,False,keeling,amadi,3,2,nan
742,46,"38744 kreiger vista\nshanahantown, ut 34820-6485",services,married,secondary,False,0,True,False,cellular,22,jun,154,1,124,1,other,False,kirlin,fern,4,6,nan
764,28,"63737 c3cilia n3ck\nn3w dallasb0r0ugh, nv 00524",services,married,secondary,False,0,True,False,cellular,5,may,335,2,281,8,failure,False,toy,mollie,2,5,nan
765,37,"29603 stanton river\nschimmelhaven, fl 42341-3311",management,divorced,secondary,False,414,False,False,cellular,29,jan,293,2,162,4,failure,False,kihn,larry,3,1,nan
769,52,"5933 rosie pines ave.\nmertieland, pw 88005",management,married,tertiary,False,1944,True,False,cellular,15,apr,238,3,323,2,failure,False,hilll,savanah,5,4,nan
776,28,"331 lueilwitz wells st.\nwest barney, nc 21444",technician,single,secondary,False,3,False,False,telephone,18,may,40,8,349,6,failure,False,wintheiser,betsy,2,5,nan
798,34,"01698 rapha3l lights\nn3w k3ll3yhav3n, ks 64247",student,single,unknown,False,1281,False,False,cellular,25,aug,279,1,117,1,failure,False,walker,willard,3,8,nan
800,50,"117 jacynth3 pass \n3ast micha3lab0r0ugh, sd 40389",management,married,tertiary,False,2881,False,False,cellular,5,aug,510,2,2,5,other,False,lang,jed,5,8,nan
801,30,"4543 gertrude tunnel ave.\nport destinmouth, md 49985",blue-collar,single,secondary,False,445,True,False,cellular,16,apr,218,1,330,2,failure,False,carroll,marlene,3,4,nan
802,40,"55013 zi3m3 highway\ns0uth barr3tt, md 33612",management,married,secondary,False,643,True,False,cellular,17,apr,74,2,256,1,failure,False,ziemann,sigrid,4,4,nan
804,40,"9014h0m3nicklightsav3.\nn0rth0l3tastad,aa12141-4529",management,married,tertiary,False,-1212,True,False,cellular,15,may,1259,2,333,18,failure,False,reynolds,carole,4,5,nan
805,41,"0038 m00r3 m0untains suit3 556\np0rt abby, m0 88099-1653",technician,married,secondary,False,2125,True,True,cellular,21,nov,285,3,116,4,failure,False,cummerata,ocie,4,11,nan
808,32,"5325 dereck station apt. 592\nwest baron, ky 89641-9177",technician,single,secondary,False,271,True,False,cellular,13,may,80,2,268,2,other,False,willms,doris,3,5,nan
